{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.8625}
{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.8561}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.097, 'neu': 0.714, 'pos': 0.188, 'compound': 0.34}
{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}
{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.4466}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.112, 'neu': 0.772, 'pos': 0.116, 'compound': 0.0494}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.6597}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.324, 'neu': 0.583, 'pos': 0.094, 'compound': -0.7964}
{'neg': 0.192, 'neu': 0.757, 'pos': 0.051, 'compound': -0.7819}
{'neg': 0.787, 'neu': 0.213, 'pos': 0.0, 'compound': -0.5719}
{'neg': 0.18, 'neu': 0.55, 'pos': 0.27, 'compound': 0.2023}
{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.25}
{'neg': 0.09, 'neu': 0.843, 'pos': 0.067, 'compound': -0.2023}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}
{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.5719}
{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.7269}
{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.5423}
{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.8625}
{'neg': 0.155, 'neu': 0.784, 'pos': 0.061, 'compound': -0.5267}
{'neg': 0.377, 'neu': 0.623, 'pos': 0.0, 'compound': -0.5927}
{'neg': 0.075, 'neu': 0.849, 'pos': 0.075, 'compound': 0.25}
{'neg': 0.203, 'neu': 0.703, 'pos': 0.094, 'compound': -0.4939}
{'neg': 0.228, 'neu': 0.772, 'pos': 0.0, 'compound': -0.8253}
{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}
{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.2263}
{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.7506}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.768, 'pos': 0.232, 'compound': 0.8422}
{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.157, 'neu': 0.588, 'pos': 0.255, 'compound': -0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6249}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}
{'neg': 0.438, 'neu': 0.562, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6249}
{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.1779}
{'neg': 0.235, 'neu': 0.588, 'pos': 0.176, 'compound': -0.25}
